train_loss,test_clean_acc,test_clean_loss,test_asr,test_asr_loss,epoch
2.2662106251665777,0.1135,2.2891221152749033,1.0,1.7642897185246655,0
2.2169665761593818,0.2964,2.1663511543516902,0.6519,1.979723038946747,1
1.966010185192897,0.7488,1.7492633632793548,0.1934,2.2548290453139384,2
1.7632180805653652,0.8006,1.67570382014961,0.1701,2.2816705232972554,3
1.7317040286847014,0.8082,1.6628089171306344,0.1921,2.259749900003907,4
1.7182761641707756,0.8167,1.651823040026768,0.2237,2.2314599653717817,5
1.7057111207356077,0.8236,1.6468592031746154,0.3167,2.13751108327489,6
1.6769414385244537,0.8209,1.6499930392405031,0.8749,1.588841635710115,7
1.6331404500932836,0.8367,1.6317794725393793,0.9863,1.4780622439779294,8
1.6178679964435634,0.8419,1.6271571566344827,0.9959,1.467655343614566,9
